AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob
111,Panihati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.99721247
112,Kamarhati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.99855226
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9989644
114,Dum Dum,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9953733
115,Rajarhat New Town,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9981542
116,Bidhannagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.97481155
117,Rajarhat  Gopalpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.99494725
118,Madhyamgram,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9990447
119,Barasat,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9958568
120,Deganga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9988016
121,Haroa,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9966157
122,Minakhan,North Twenty Four Parganas,SC,All India Trinamool Congress,0.99916613
123,Sandeshkhali,North Twenty Four Parganas,ST,All India Trinamool Congress,0.9996351
124,Basirhat Dakshin,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.99461836
125,Basirhat Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.982143
126,Hingalganj,North Twenty Four Parganas,SC,All India Trinamool Congress,0.9834811
127,Gosaba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99733233
128,Basanti,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9992805
129,Kultali,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9943751
130,Patharpratima,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.984718
131,Kakdwip,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9356848
132,Sagar,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.98062176
133,Kulpi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99884003
134,Raidighi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9859044
135,Mandirbazar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9971607
136,Jaynagar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99853086
137,Baruipur Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99564904
138,Canning Paschim,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9971233
139,Canning Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9769082
140,Baruipur Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9995154
141,Magrahat Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99891746
142,Magrahat Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99938035
143,Diamond Harbour,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9860043
144,Falta,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9995315
145,Satgachhia,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.98798615
146,Bishnupur (SC),South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99772114
147,Sonarpur Dakshin,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9940274
148,Bhangar,South  Twenty Four Parganas,GEN,OTHER,0.74582964
149,Kasba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9969336
150,Jadavpur,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99766004
151,Sonarpur Uttar,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9962475
152,Tollyganj,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99493825
153,Behala Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9957157
154,Behala Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99770194
155,Maheshtala,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99943715
156,Budge Budge,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9997867
157,Metiaburuz,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9990213
158,Kolkata Port,Kolkata,GEN,All India Trinamool Congress,0.9993318
159,Bhabanipur,Kolkata,GEN,All India Trinamool Congress,0.9987954
160,Rashbehari,Kolkata,GEN,All India Trinamool Congress,0.99583495
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.99918836
162,Chowrangee,Kolkata,GEN,All India Trinamool Congress,0.99863523
163,Entally,Kolkata,GEN,All India Trinamool Congress,0.9993376
164,Beleghata,Kolkata,GEN,All India Trinamool Congress,0.9990633
165,Jorasanko,Kolkata,GEN,All India Trinamool Congress,0.96242017
166,Shyampukur,Kolkata,GEN,All India Trinamool Congress,0.9984932
167,Maniktola,Kolkata,GEN,All India Trinamool Congress,0.99620795
168,Kashipur-Belgachhia,Kolkata,GEN,All India Trinamool Congress,0.99921227
169,Bally,Haora,GEN,All India Trinamool Congress,0.9882345
170,Howrah Uttar,Haora,GEN,All India Trinamool Congress,0.982622
171,Howrah Madhya,Haora,GEN,All India Trinamool Congress,0.9974833
172,Shibpur,Haora,GEN,All India Trinamool Congress,0.999206
173,Howrah Dakshin,Haora,GEN,All India Trinamool Congress,0.9985536
174,Sankrail,Haora,SC,All India Trinamool Congress,0.9990395
175,Panchla,Haora,GEN,All India Trinamool Congress,0.9987142
176,Uluberia Purba,Haora,GEN,All India Trinamool Congress,0.99946076
177,Uluberia Uttar,Haora,SC,All India Trinamool Congress,0.999012
178,Uluberia Dakshin,Haora,GEN,All India Trinamool Congress,0.9971317
