AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
203,Tamluk,Purba Medinipur,0.3,0.05,0.02,0.02,0.01,0.1
12,Alipurduars,Jalpaiguri,7.3,0.05,0.02,0.02,0.01,0.1
181,Amta,Haora,12.6,0.05,0.02,0.02,0.01,0.1
238,Bandwan,Puruliya,7.9,0.05,0.02,0.02,0.01,0.1
240,Baghmundi,Puruliya,6.9,0.05,0.02,0.02,0.01,0.1
180,Bagnan,Haora,15.2,0.05,0.02,0.02,0.01,0.1
239,Balarampur,Puruliya,0.2,0.05,0.02,0.02,0.01,0.1
169,Bally,Haora,5.0,0.05,0.02,0.02,0.01,0.1
176,Uluberia Purba,Haora,9.0,0.05,0.02,0.02,0.01,0.1
86,Santipur,Nadia,7.3,0.05,0.02,0.02,0.01,0.1
219,Dantan,Paschim Medinipur,0.3,0.05,0.02,0.02,0.01,0.1
19,Dabgram-Fulbari,Jalpaiguri,10.8,0.05,0.02,0.02,0.01,0.1
251,Taldangra,Bankura,6.2,0.05,0.02,0.02,0.01,0.1
284,Dubrajpur,Birbhum,1.9,0.05,0.02,0.02,0.01,0.1
85,Krishnanagar Dakshin,Nadia,4.8,0.05,0.02,0.02,0.01,0.1
10,Kumargram,Jalpaiguri,4.8,0.05,0.02,0.02,0.01,0.1
223,Keshiary,Paschim Medinipur,7.3,0.05,0.02,0.02,0.01,0.1
235,Keshpur,Paschim Medinipur,9.1,0.05,0.02,0.02,0.01,0.1
82,Chapra,Nadia,5.7,0.05,0.02,0.02,0.01,0.1
248,Chhatna,Bankura,3.7,0.05,0.02,0.02,0.01,0.1
214,Bhagabanpur,Purba Medinipur,12.4,0.05,0.02,0.02,0.01,0.1
237,Binpur,Paschim Medinipur,21.3,0.05,0.02,0.02,0.01,0.1
286,Bolpur,Birbhum,9.8,0.05,0.02,0.02,0.01,0.1
255,Bishnupur,Bankura,6.1,0.05,0.02,0.02,0.01,0.1
84,Nabadwip,Nadia,8.9,0.05,0.02,0.02,0.01,0.1
294,Murarai,Birbhum,45.4,0.05,0.02,0.02,0.01,0.1
206,Moyna,Purba Medinipur,0.6,0.05,0.02,0.02,0.01,0.1
252,Bankura,Bankura,0.7,0.05,0.02,0.02,0.01,0.1
81,Nakashipara,Nadia,10.2,0.05,0.02,0.02,0.01,0.1
21,Nagrakata,Jalpaiguri,12.6,0.05,0.02,0.02,0.01,0.1
293,Nalhati,Birbhum,27.7,0.05,0.02,0.02,0.01,0.1
243,Manbazar,Puruliya,7.3,0.05,0.02,0.02,0.01,0.1
20,Mal,Jalpaiguri,2.6,0.05,0.02,0.02,0.01,0.1
