AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
136,Jaynagar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8109071911003503,0.8109071911003503,0.15263744852697017,0.03645536037267957
222,Jhargram,Paschim Medinipur,GEN,All India Trinamool Congress,0.8566911766406299,0.8566911766406299,0.11886382844120691,0.02444499491816323
165,Jorasanko,Kolkata,GEN,All India Trinamool Congress,0.5229473305393377,0.5229473305393377,0.4308769181326153,0.0461757513280471
241,Joypur,Puruliya,GEN,Bharatiya Janta Party,0.9959050782328507,0.003636986599158586,0.9959050782328507,0.00045793516799071837
131,Kakdwip,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.500277185856037,0.500277185856037,0.3703328386975164,0.12938997544644665
11,Kalchini,Jalpaiguri,ST,Bharatiya Janta Party,0.998471702297777,0.0007743696630201225,0.998471702297777,0.0007539280392027844
34,Kaliaganj,Uttar Dinajpur,SC,Bharatiya Janta Party,0.9935142460529116,0.003810816860108832,0.9935142460529116,0.0026749370869794792
80,Kaliganj,Nadia,GEN,All India Trinamool Congress,0.8280331655136787,0.8280331655136787,0.1455030093978454,0.02646382508847586
22,Kalimpong,Darjiling,GEN,OTHER,0.6909093059996374,0.019245421745334845,0.28984527225502776,0.6909093059996374
264,Kalna,Barddhaman,SC,All India Trinamool Congress,0.5999434065702154,0.5999434065702154,0.3743068010991288,0.025749792330655743
92,Kalyani,Nadia,SC,Bharatiya Janta Party,0.9995943770815631,0.00030117762350285326,0.9995943770815631,0.00010444529493404387
112,Kamarhati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7872632839717948,0.7872632839717948,0.16565103444186222,0.04708568158634311
68,Kandi,Murshidabad,GEN,All India Trinamool Congress,0.8014662519732202,0.8014662519732202,0.16665021839271574,0.03188352963406414
216,Kanthi Dakshin,Purba Medinipur,GEN,Bharatiya Janta Party,0.9900867497516394,0.008715526514436061,0.9900867497516394,0.0011977237339246376
213,Kanthi Uttar,Purba Medinipur,GEN,Bharatiya Janta Party,0.9840502516030859,0.008574269376130298,0.9840502516030859,0.007375479020783823
32,Karandighi,Uttar Dinajpur,GEN,All India Trinamool Congress,0.6015167612658875,0.6015167612658875,0.3748711563467043,0.023612082387408154
77,Karimpur,Nadia,GEN,All India Trinamool Congress,0.5238805097277599,0.5238805097277599,0.45219348534583237,0.023926004926407632
149,Kasba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7739540598619934,0.7739540598619934,0.1762950898630406,0.04975085027496609
244,Kashipur,Puruliya,GEN,Bharatiya Janta Party,0.9966738899622755,0.002544362900485235,0.9966738899622755,0.0007817471372393678
168,Kashipur-Belgachhia,Kolkata,GEN,All India Trinamool Congress,0.7735718499887791,0.7735718499887791,0.1772301030092028,0.04919804700201797
256,Katulpur,Bankura,SC,Bharatiya Janta Party,0.9981212554646339,0.0007468893147316852,0.9981212554646339,0.0011318552206344035
270,Katwa,Barddhaman,GEN,All India Trinamool Congress,0.7629632636802691,0.7629632636802691,0.20287363300377514,0.034163103315955734
223,Keshiary,Paschim Medinipur,ST,All India Trinamool Congress,0.7800315949939665,0.7800315949939665,0.20330073236034948,0.016667672645684136
235,Keshpur,Paschim Medinipur,SC,All India Trinamool Congress,0.5623931012150518,0.5623931012150518,0.4048702226543976,0.03273667613055052
271,Ketugram,Barddhaman,GEN,All India Trinamool Congress,0.8202839337916467,0.8202839337916467,0.14574630721562046,0.03396975899273272
202,Khanakul,Hugli,GEN,Bharatiya Janta Party,0.9955880417652947,0.003606520625538014,0.9955880417652947,0.0008054376091673115
259,Khandaghosh,Barddhaman,SC,All India Trinamool Congress,0.8153327259632988,0.8153327259632988,0.15798612788450336,0.026681146152197955
228,Kharagpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.8852879334188051,0.8852879334188051,0.09649444703577573,0.018217619545419176
224,Kharagpur Sadar,Paschim Medinipur,GEN,Bharatiya Janta Party,0.9917451508205911,0.00492361674288911,0.9917451508205911,0.003331232436519798
109,Khardaha,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8179091565597075,0.8179091565597075,0.1439550568094897,0.03813578663080279
66,Khargram,Murshidabad,SC,All India Trinamool Congress,0.8069513344254834,0.8069513344254834,0.1621681984413932,0.030880467133123455
215,Khejuri,Purba Medinipur,SC,Bharatiya Janta Party,0.990735827762277,0.00658211475688732,0.990735827762277,0.002682057480835755
