AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Candidate_Present,Candidate_Placeholder,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
217,Ramnagar,Purba Medinipur,GEN,All India Trinamool Congress,0.7606613578005201,0,0,0.7606613578005201,0.2342964979949945,0.005042144204485352
291,Rampurhat,Birbhum,GEN,All India Trinamool Congress,0.830380463301335,0,0,0.830380463301335,0.16553110643448574,0.0040884302641792086
90,Ranaghat Dakshin,Nadia,SC,Bharatiya Janta Party,0.9981365067754309,0,0,0.0010864945091234887,0.9981365067754309,0.000776998715445583
87,Ranaghat Uttar Paschim,Nadia,GEN,Bharatiya Janta Party,0.9944566474255585,0,0,0.003971130857185379,0.9944566474255585,0.0015722217172561472
89,Ranaghat Uttar Purba,Nadia,SC,Bharatiya Janta Party,0.990426608780426,0,0,0.008656822925878825,0.990426608780426,0.000916568293695179
249,Ranibandh,Bankura,ST,Bharatiya Janta Party,0.516143473442134,0,0,0.47864799164187355,0.516143473442134,0.005208534915992452
278,Raniganj,Barddhaman,GEN,Bharatiya Janta Party,0.9817753180258902,0,0,0.015328890419121796,0.9817753180258902,0.0028957915549879427
63,Raninagar,Murshidabad,GEN,All India Trinamool Congress,0.8985806614340803,0,0,0.8985806614340803,0.09875882406224941,0.0026605145036702554
160,Rashbehari,Kolkata,GEN,All India Trinamool Congress,0.9545736602096239,0,0,0.9545736602096239,0.038688133004465594,0.0067382067859106136
48,Ratua,Maldah,GEN,All India Trinamool Congress,0.7279320033097886,0,0,0.7279320033097886,0.2658468776464956,0.006221119043715836
70,Rejinagar,Murshidabad,GEN,All India Trinamool Congress,0.9880956554817177,0,0,0.9880956554817177,0.011196957292057174,0.0007073872262250274
226,Sabang,Paschim Medinipur,GEN,All India Trinamool Congress,0.8270877964400002,0,0,0.8270877964400002,0.15297855784090225,0.01993364571909764
132,Sagar,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8542497828417295,0,0,0.8542497828417295,0.07446954984760973,0.07128066731066074
60,Sagardighi,Murshidabad,GEN,All India Trinamool Congress,0.9853086127942926,0,0,0.9853086127942926,0.012432834325711779,0.0022585528799955366
289,Sainthia,Birbhum,SC,All India Trinamool Congress,0.6804190793928164,0,0,0.6804190793928164,0.3159057039563717,0.0036752166508118686
234,Salboni,Paschim Medinipur,GEN,Bharatiya Janta Party,0.7732199823784365,0,0,0.1437749433734044,0.7732199823784365,0.08300507424815907
247,Saltora,Bankura,SC,Bharatiya Janta Party,0.9941448227335331,0,0,0.00541479965566367,0.9941448227335331,0.00044037761080320786
56,Samserganj,Murshidabad,GEN,All India Trinamool Congress,0.9135019976508717,0,0,0.9135019976508717,0.08100486501306065,0.005493137336067612
123,Sandeshkhali,North Twenty Four Parganas,ST,All India Trinamool Congress,0.9957130047458824,0,0,0.9957130047458824,0.0038137080522345546,0.00047328720188296106
174,Sankrail,Haora,SC,All India Trinamool Congress,0.9892227477539055,0,0,0.9892227477539055,0.009130992250812637,0.0016462599952818816
86,Santipur,Nadia,GEN,Bharatiya Janta Party,0.9942591483002785,0,0,0.0051024162210605226,0.9942591483002785,0.0006384354786609733
193,Saptagram,Hugli,GEN,All India Trinamool Congress,0.8320259451165105,0,0,0.8320259451165105,0.15920449353255942,0.008769561350930013
145,Satgachhia,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9023069995787331,0,0,0.9023069995787331,0.05409896154922716,0.04359403887203979
172,Shibpur,Haora,GEN,All India Trinamool Congress,0.991446112979925,0,0,0.991446112979925,0.006845271855415264,0.0017086151646596797
166,Shyampukur,Kolkata,GEN,All India Trinamool Congress,0.9834829287649343,0,0,0.9834829287649343,0.013670469455609584,0.002846601779456262
179,Shyampur,Haora,GEN,All India Trinamool Congress,0.8668775270204846,0,0,0.8668775270204846,0.12564693995014173,0.007475533029373537
26,Siliguri,Darjiling,GEN,Bharatiya Janta Party,0.7913331714872354,0,0,0.1598299952457831,0.7913331714872354,0.04883683326698151
188,Singur,Hugli,GEN,All India Trinamool Congress,0.9896733994620421,0,0,0.9896733994620421,0.00935509450657147,0.0009715060313864049
