AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9805043,0.019121211,0.000892782194974,0.9805043,0.998972128780702,0.00037452418,0.000135089024324,,,,,0,0
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9875693,0.012091778,0.0005607283053863,0.9875693,0.9993178338211284,0.000338986,0.0001214378734854,,,,,0,0
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.9736258,0.025585838,0.0012025047504059,0.9736258,0.9985112702262856,0.0007883342,0.0002862250233085,Dr. Anup Mondal,???? ???????? ???? ???? (Shri Niladri Shekhar Dana),Arup Banerjee,ABHAYANANDA MUKHERJEE,0,0
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.9923038,0.9923038,0.8368526055468148,0.006940169,0.1576750901173989,0.0007559592,0.0054723043357862,Bidhan Upadhyay,???? ?????? ??? (Shri Arijit Roy),Joydev Roy,,0,0
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9989644,0.9989644,0.9835871863238108,0.00042387831,0.0112432733244256,0.0006116761,0.0051695403517634,Sayantika Banerjee,???? ??? ??? (Shri Sajal ???),Smt. Kalyani Chakraborty,SAYANDIP MITRA,0,0
119,Barasat,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9958568,0.9958568,0.9278550801781182,0.0022809708,0.0572521375508048,0.0018621944,0.0148927822710769,Sabyasachi Dutta,???? ???? ?????? (Shri Sankar Chatterjee),Tarak Mukherjee,HEMANTA DAS,0,0
260,Burdwan Dakshin,Barddhaman,GEN,All India Trinamool Congress,0.9405242,0.9405242,0.3752978334520065,0.057476725,0.6178553628278801,0.0019990066,0.0068468037201133,,,,,0,0
266,Burdwan Uttar,Barddhaman,SC,All India Trinamool Congress,0.985973,0.985973,0.7496184600179256,0.011381911,0.2331197987710327,0.0026450981,0.0172617412110416,,,,,0,0
253,Barjora,Bankura,GEN,All India Trinamool Congress,0.94686615,0.94686615,0.4007025481970336,0.052303184,0.5962801672160536,0.0008306445,0.0030172845869128,Goutam Mishra (Shyam),???? ???????? ????? (Shri Billeshwar Singha),Vivekananda Keora,SUJIT CHAKRABORTY,0,0
108,Barrackpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9919171,0.9919171,0.904435852773315,0.0019300492,0.0474088582432301,0.0061528175,0.0481552889834549,,,,,0,0
