AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
44,Gazole,Maldah,0.8,0.25,Bharatiya Janta Party,0.9904507404916424,Bharatiya Janta Party,0.99112877891055
72,Baharampur,Murshidabad,13.8,0.25,Bharatiya Janta Party,0.9958204144193784,Bharatiya Janta Party,0.9960534272409448
73,Hariharpara,Murshidabad,6.5,0.25,All India Trinamool Congress,0.6682005953947698,All India Trinamool Congress,0.5249572358826659
43,Habibpur,Maldah,10.0,0.25,Bharatiya Janta Party,0.9954099554530108,Bharatiya Janta Party,0.9956889555000696
75,Domkal,Murshidabad,21.1,0.25,All India Trinamool Congress,0.8909534129483239,All India Trinamool Congress,0.6889967642836987
76,Jalangi,Murshidabad,36.1,0.25,All India Trinamool Congress,0.9369827367194976,All India Trinamool Congress,0.7222552081760806
58,Jangipur,Murshidabad,47.7,0.25,All India Trinamool Congress,0.8642855193917718,All India Trinamool Congress,0.6696292393766212
36,Itahar,Uttar Dinajpur,22.8,0.25,All India Trinamool Congress,0.9441864862637016,All India Trinamool Congress,0.7274408636887363
29,Islampur,Uttar Dinajpur,22.3,0.25,All India Trinamool Congress,0.853168858088637,All India Trinamool Congress,0.6615342747875983
32,Karandighi,Uttar Dinajpur,17.4,0.25,All India Trinamool Congress,0.7013008520118209,All India Trinamool Congress,0.5496623047136666
68,Kandi,Murshidabad,20.8,0.25,All India Trinamool Congress,0.9392703369956424,All India Trinamool Congress,0.7239025160091145
51,Englishbazar,Maldah,9.5,0.25,Bharatiya Janta Party,0.99608177989577,Bharatiya Janta Party,0.9963315809920456
125,Basirhat Uttar,North Twenty Four Parganas,37.8,0.22,All India Trinamool Congress,0.8834160033136756,All India Trinamool Congress,0.7061949217135313
108,Barrackpur,North Twenty Four Parganas,6.3,0.22,All India Trinamool Congress,0.9389444099748636,All India Trinamool Congress,0.7479935621620449
119,Barasat,North Twenty Four Parganas,10.7,0.22,All India Trinamool Congress,0.9595987730425838,All India Trinamool Congress,0.7634674798379397
101,Ashoknagar,North Twenty Four Parganas,10.9,0.22,All India Trinamool Congress,0.8605084341265826,All India Trinamool Congress,0.6888669321349492
