AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Flip_Risk
191,Balagarh,Hugli,SC,Bharatiya Janta Party,0.6946830475686334,Low
126,Hingalganj,North Twenty Four Parganas,SC,All India Trinamool Congress,0.6969503550454349,Low
250,Raipur,Bankura,ST,All India Trinamool Congress,0.6977136468883507,Low
186,Sreerampur,Hugli,GEN,All India Trinamool Congress,0.7001676089343544,Low
281,Asansol Uttar,Barddhaman,GEN,Bharatiya Janta Party,0.7049672566412858,Low
291,Rampurhat,Birbhum,GEN,All India Trinamool Congress,0.7075387939834791,Low
218,Egra,Purba Medinipur,GEN,All India Trinamool Congress,0.7085270600781101,Low
226,Sabang,Paschim Medinipur,GEN,All India Trinamool Congress,0.7092365175416383,Low
193,Saptagram,Hugli,GEN,All India Trinamool Congress,0.7119282682186214,Low
49,Manikchak,Maldah,GEN,All India Trinamool Congress,0.7200768211517661,Low
1,Mekliganj,Koch Bihar,SC,Bharatiya Janta Party,0.737651301815008,Low
100,Habra,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7436091408571783,Low
110,Dum Dum Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7442935203739907,Low
233,Garbeta,Paschim Medinipur,GEN,All India Trinamool Congress,0.7468973765270867,Low
104,Naihati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7472092261889118,Low
148,Bhangar,South  Twenty Four Parganas,GEN,OTHER,0.7489100797476458,Low
62,Bhagabangola,Murshidabad,GEN,All India Trinamool Congress,0.7490516988082614,Low
266,Burdwan Uttar,Barddhaman,SC,All India Trinamool Congress,0.7496184600179256,Low
29,Islampur,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7497158419561799,Low
221,Gopiballavpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.7510182578859168,Very Low
139,Canning Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7536194030524803,Very Low
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7536860831559237,Very Low
30,Goalpokhar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7546201409795833,Very Low
42,Harirampur,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.7559281930624379,Very Low
190,Chunchura,Hugli,GEN,Bharatiya Janta Party,0.7562633767985624,Very Low
58,Jangipur,Murshidabad,GEN,All India Trinamool Congress,0.7597745773411467,Very Low
223,Keshiary,Paschim Medinipur,ST,All India Trinamool Congress,0.764478535983531,Very Low
179,Shyampur,Haora,GEN,All India Trinamool Congress,0.7648928795245821,Very Low
196,Haripal,Hugli,GEN,All India Trinamool Congress,0.7679630128195732,Very Low
31,Chakulia,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7711281922137481,Very Low
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7716991706351884,Very Low
132,Sagar,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7747113530303603,Very Low
143,Diamond Harbour,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7865774083412727,Very Low
69,Bharatpur,Murshidabad,GEN,All India Trinamool Congress,0.7941019493347206,Very Low
181,Amta,Haora,GEN,All India Trinamool Congress,0.7975973292300469,Very Low
75,Domkal,Murshidabad,GEN,All India Trinamool Congress,0.8037739182209794,Very Low
45,Chanchal,Maldah,GEN,All India Trinamool Congress,0.8040685265978613,Very Low
170,Howrah Uttar,Haora,GEN,All India Trinamool Congress,0.8048891364705092,Very Low
134,Raidighi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.810792385495387,Very Low
63,Raninagar,Murshidabad,GEN,All India Trinamool Congress,0.8141809959569851,Very Low
261,Raina,Barddhaman,SC,All India Trinamool Congress,0.8170023801537948,Very Low
81,Nakashipara,Nadia,GEN,All India Trinamool Congress,0.8179253699862383,Very Low
59,Raghunathganj,Murshidabad,GEN,All India Trinamool Congress,0.8191567024002009,Very Low
50,Maldaha,Maldah,SC,Bharatiya Janta Party,0.8245270620183052,Very Low
17,Jalpaiguri,Jalpaiguri,SC,Bharatiya Janta Party,0.8289482964271045,Very Low
125,Basirhat Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8328646363039798,Very Low
290,Mayureswar,Birbhum,GEN,All India Trinamool Congress,0.8358010124598191,Very Low
130,Patharpratima,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.836095582355807,Very Low
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.8368526055468148,Very Low
169,Bally,Haora,GEN,All India Trinamool Congress,0.8387006282074816,Very Low
107,Noapara,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8395563648525238,Very Low
56,Samserganj,Murshidabad,GEN,All India Trinamool Congress,0.8410089913582617,Very Low
270,Katwa,Barddhaman,GEN,All India Trinamool Congress,0.84145967696214,Very Low
145,Satgachhia,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8419492141946677,Very Low
79,Palashipara,Nadia,GEN,All India Trinamool Congress,0.8460655341596086,Very Low
230,Daspur,Paschim Medinipur,GEN,Bharatiya Janta Party,0.8495510313915796,Very Low
234,Salboni,Paschim Medinipur,GEN,Bharatiya Janta Party,0.8603086609884383,Very Low
210,Nandigram,Purba Medinipur,GEN,Bharatiya Janta Party,0.8636132462642805,Very Low
187,Champdani,Hugli,GEN,All India Trinamool Congress,0.8641771417481032,Very Low
214,Bhagabanpur,Purba Medinipur,GEN,Bharatiya Janta Party,0.8651577457306856,Very Low
184,Domjur,Haora,GEN,All India Trinamool Congress,0.8698547503905116,Very Low
287,Nanoor,Birbhum,SC,Bharatiya Janta Party,0.8706081952791168,Very Low
26,Siliguri,Darjiling,GEN,Bharatiya Janta Party,0.8772302522875194,Very Low
74,Naoda,Murshidabad,GEN,All India Trinamool Congress,0.8772389826354042,Very Low
35,Raiganj,Uttar Dinajpur,GEN,Bharatiya Janta Party,0.877267616825423,Very Low
76,Jalangi,Murshidabad,GEN,All India Trinamool Congress,0.8805025001199278,Very Low
68,Kandi,Murshidabad,GEN,All India Trinamool Congress,0.8860991326531741,Very Low
152,Tollyganj,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8895285712143345,Very Low
220,Nayagram,Paschim Medinipur,ST,All India Trinamool Congress,0.8911234279407961,Very Low
259,Khandaghosh,Barddhaman,SC,All India Trinamool Congress,0.8948288825788188,Very Low
36,Itahar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.8955322463900958,Very Low
286,Bolpur,Birbhum,GEN,All India Trinamool Congress,0.8956075725139764,Very Low
198,Tarakeswar,Hugli,GEN,All India Trinamool Congress,0.896426804537062,Very Low
66,Khargram,Murshidabad,SC,All India Trinamool Congress,0.896946706517733,Very Low
117,Rajarhat  Gopalpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8986378438377159,Very Low
53,Sujapur,Maldah,GEN,All India Trinamool Congress,0.8990545868259973,Very Low
129,Kultali,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8991802311207228,Very Low
108,Barrackpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.904435852773315,Very Low
114,Dum Dum,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9050485331252855,Very Low
28,Chopra,Uttar Dinajpur,GEN,Bharatiya Janta Party,0.9065605598688548,Very Low
288,Labhpur,Birbhum,GEN,All India Trinamool Congress,0.9070787413552224,Very Low
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.909851560413996,Very Low
153,Behala Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9120801645106894,Very Low
124,Basirhat Dakshin,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9142257515859764,Very Low
160,Rashbehari,Kolkata,GEN,All India Trinamool Congress,0.9155496927227368,Very Low
137,Baruipur Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9161853340218952,Very Low
147,Sonarpur Dakshin,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9161934899562406,Very Low
269,Purbasthali Uttar,Barddhaman,GEN,All India Trinamool Congress,0.918791610874529,Very Low
80,Kaliganj,Nadia,GEN,All India Trinamool Congress,0.9211833950813964,Very Low
167,Maniktola,Kolkata,GEN,All India Trinamool Congress,0.9232265510565836,Very Low
232,Chandrakona,Paschim Medinipur,SC,Bharatiya Janta Party,0.9235481674731016,Very Low
4,Cooch Behar Dakshin,Koch Bihar,GEN,Bharatiya Janta Party,0.924933960304649,Very Low
119,Barasat,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9278550801781182,Very Low
195,Jangipara,Hugli,GEN,All India Trinamool Congress,0.9310438296413632,Very Low
178,Uluberia Dakshin,Haora,GEN,All India Trinamool Congress,0.9316696046003914,Very Low
151,Sonarpur Uttar,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9325752282022938,Very Low
138,Canning Paschim,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9336701120429064,Very Low
236,Medinipur,Paschim Medinipur,GEN,All India Trinamool Congress,0.9346040378759348,Very Low
57,Suti,Murshidabad,GEN,All India Trinamool Congress,0.9363061257852766,Very Low
121,Haroa,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.937308732874561,Very Low
192,Pandua,Hugli,GEN,All India Trinamool Congress,0.9382504549843272,Very Low
209,Haldia,Purba Medinipur,SC,Bharatiya Janta Party,0.939780055600338,Very Low
127,Gosaba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9418133188854128,Very Low
183,Jagatballavpur,Haora,GEN,All India Trinamool Congress,0.9422269814920156,Very Low
135,Mandirbazar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9430821588068932,Very Low
262,Jamalpur,Barddhaman,SC,All India Trinamool Congress,0.9435804442874658,Very Low
149,Kasba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.94508047186778,Very Low
46,Harischandrapur,Maldah,GEN,All India Trinamool Congress,0.9465830531019755,Very Low
111,Panihati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9465923932897904,Very Low
171,Howrah Madhya,Haora,GEN,All India Trinamool Congress,0.9465939643906568,Very Low
185,Uttarpara,Hugli,GEN,All India Trinamool Congress,0.9515328151761254,Very Low
150,Jadavpur,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9550382854676968,Very Low
274,Galsi,Barddhaman,SC,All India Trinamool Congress,0.9556975488909378,Very Low
154,Behala Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9574257475175282,Very Low
146,Bishnupur (SC),South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9621469819433588,Very Low
222,Jhargram,Paschim Medinipur,GEN,All India Trinamool Congress,0.9630159433445452,Very Low
228,Kharagpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.9638823760590046,Very Low
106,Jagatdal,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9643085101933552,Very Low
136,Jaynagar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9645380868375112,Very Low
271,Ketugram,Barddhaman,GEN,All India Trinamool Congress,0.9648992620207304,Very Low
189,Chandannagar,Hugli,GEN,All India Trinamool Congress,0.9666326142098216,Very Low
173,Howrah Dakshin,Haora,GEN,All India Trinamool Congress,0.9676416445028844,Very Low
166,Shyampukur,Kolkata,GEN,All India Trinamool Congress,0.9687332451385996,Very Low
47,Malatipur,Maldah,GEN,All India Trinamool Congress,0.9693904133716724,Very Low
237,Binpur,Paschim Medinipur,ST,All India Trinamool Congress,0.9698224599127722,Very Low
20,Mal,Jalpaiguri,ST,Bharatiya Janta Party,0.9707764087043076,Very Low
175,Panchla,Haora,GEN,All India Trinamool Congress,0.9710311766607328,Very Low
52,Mothabari,Maldah,GEN,All India Trinamool Congress,0.9711860574801848,Very Low
60,Sagardighi,Murshidabad,GEN,All India Trinamool Congress,0.9719631049892264,Very Low
162,Chowrangee,Kolkata,GEN,All India Trinamool Congress,0.9723485724747352,Very Low
115,Rajarhat New Town,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9724105686476784,Very Low
120,Deganga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9749185576477674,Very Low
141,Magrahat Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9749771629176166,Very Low
71,Beldanga,Murshidabad,GEN,All India Trinamool Congress,0.9749837241176854,Very Low
112,Kamarhati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.975616879702906,Very Low
159,Bhabanipur,Kolkata,GEN,All India Trinamool Congress,0.976046737332032,Very Low
70,Rejinagar,Murshidabad,GEN,All India Trinamool Congress,0.9764790924614566,Very Low
157,Metiaburuz,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9767616043458228,Very Low
133,Kulpi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9771559769415228,Very Low
194,Chanditala,Hugli,GEN,All India Trinamool Congress,0.9776266033626708,Very Low
55,Farakka,Murshidabad,GEN,All India Trinamool Congress,0.9786733241179604,Very Low
174,Sankrail,Haora,SC,All India Trinamool Congress,0.9793512848395216,Very Low
294,Murarai,Birbhum,GEN,All India Trinamool Congress,0.9796518509181996,Very Low
188,Singur,Hugli,GEN,All India Trinamool Congress,0.9798028326011652,Very Low
164,Beleghata,Kolkata,GEN,All India Trinamool Congress,0.9800798431842918,Very Low
177,Uluberia Uttar,Haora,SC,All India Trinamool Congress,0.980788112494168,Very Low
122,Minakhan,North Twenty Four Parganas,SC,All India Trinamool Congress,0.9820190429599908,Very Low
109,Khardaha,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9820556211710104,Very Low
276,Durgapur Purba,Barddhaman,GEN,Bharatiya Janta Party,0.9826271035242846,Very Low
128,Basanti,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9826312063817064,Very Low
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.9828973701253774,Very Low
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9835871863238108,Very Low
182,Udaynarayanpur,Haora,GEN,All India Trinamool Congress,0.9837895380429827,Very Low
