Year,AC_Number,Candidate,Criminal_Cases,Serious_Criminal_Cases,Facebook_Followers,X_Followers,Instagram_Followers,YouTube_Subscribers,Google_Trends_Index
2021,97,Subrata Thakur,0,0,0,0,0,0,0
2021,274,Nepal Ghorui,0,0,0,0,0,0,0
2021,41,Satyendra Nath  Ray,0,0,0,0,0,0,0
2021,233,Uttara Singha (Hazra),0,0,0,0,0,0,0
2021,44,Chinmoy Deb Barman,0,0,0,0,0,0,0
2021,231,Sital Kapat,0,0,0,0,0,0,0
2021,30,Md. Ghulam Rabbani,3,1,0,0,0,0,0
2021,201,Biswanath Karak,0,0,0,0,0,0,0
2021,221,Dr. Khagendra Nath Mahata,0,0,0,0,0,0,0
2021,127,Jayanta Naskar,0,0,0,0,0,0,0
2021,43,Joyel Murmu,0,0,0,0,0,0,0
2021,100,Jyoti Priya Mallick,0,0,0,0,0,0,0
2021,209,Tapasi Mondal,0,0,0,0,0,0,0
2021,292,Dr. Asok Kumar Chattopadhyay,0,0,0,0,0,0,0
2021,121,Islam Sk Nurul (HAJI),0,0,0,0,0,0,0
2021,73,Niamot Sheikh,1,0,0,0,0,0,0
2021,93,Asim Kumar Sarkar,0,0,0,0,0,0,0
2021,196,Dr. Karabi Manna,0,0,0,0,0,0,0
2021,42,Biplab Mitra,0,0,0,0,0,0,0
2021,46,Tajmul Hossain,0,0,0,0,0,0,0
2021,33,Satyajit Barman,0,0,0,0,0,0,0
2021,126,Debes Mandal,0,0,0,0,0,0,0
2021,173,Nandita Chowdhury,0,0,0,0,0,0,0
2021,171,Arup Roy S/o Late Prabhat Roy,0,0,0,0,0,0,0
2021,170,Gautam Chowdhuri,4,1,0,0,0,0,0
2021,257,Nirmal Kumar Dhara,0,0,0,0,0,0,0
2021,29,Abdul Karim Chowdhary,4,1,0,0,0,0,0
2021,36,Mosaraf Hussen,1,0,0,0,0,0,0
2021,150,Debabrata Majumdar (MALAY),0,0,0,0,0,0,0
2021,183,Sitanath Ghosh,0,0,0,0,0,0,0
2021,106,Somenath Shyam Ichini,6,1,0,0,0,0,0
2021,76,Abdur Razzak,0,0,0,0,0,0,0
2021,17,Dr. Pradip Kumar Barma,0,0,0,0,0,0,0
2021,262,Alok Kumar Majhi,0,0,0,0,0,0,0
2021,279,Hareram Singh,0,0,0,0,0,0,0
2021,195,Snehasis Chakraborty,1,0,0,0,0,0,0
2021,58,Jakir Hossain,0,0,0,0,0,0,0
2021,136,Biswanath Das,0,0,0,0,0,0,0
2021,222,Birbaha Hansda,0,0,0,0,0,0,0
2021,165,Vivek Gupta,0,0,0,0,0,0,0
2021,241,Nara Hari Mahato,0,0,0,0,0,0,0
2021,131,Manturam Pakhira,2,1,0,0,0,0,0
2021,11,Bishal Lama,0,0,0,0,0,0,0
2021,34,Soumen Roy,0,0,0,0,0,0,0
2021,80,Nasiruddin Ahamed (LAL),2,0,0,0,0,0,0
2021,22,Ruden Sada Lepcha,3,1,0,0,0,0,0
2021,264,Deboprasad Bag (POLTU),0,0,0,0,0,0,0
2021,92,Ambika Roy,0,0,0,0,0,0,0
2021,112,Madan Mitra,6,0,0,0,0,0,0
2021,68,Apurba Sarkar (DAVID),4,1,0,0,0,0,0
2021,216,Arup Kumar Das,0,0,0,0,0,0,0
2021,213,Sumita Sinha,0,0,0,0,0,0,0
2021,32,Goutam Paul,3,1,0,0,0,0,0
2021,77,Bimalendu Sinha Roy,0,0,0,0,0,0,0
2021,149,Ahmed Javed Khan,1,1,0,0,0,0,0
2021,244,Kamalakanta Hansda,0,0,0,0,0,0,0
2021,168,Atin Ghosh,1,0,0,0,0,0,0
2021,256,Harakali Protiher,0,0,0,0,0,0,0
2021,270,Rabindranath Chatterjee,0,0,0,0,0,0,0
2021,223,Paresh Murmu,0,0,0,0,0,0,0
2021,235,Seuli Saha,0,0,0,0,0,0,0
2021,271,Sekh Sahonawez,6,1,0,0,0,0,0
2021,202,Susanta Ghosh,0,0,0,0,0,0,0
2021,259,Nabin Chandra Bag,0,0,0,0,0,0,0
2021,228,Dinen Roy,13,0,0,0,0,0,0
2021,224,Hiranmoy Chattopadhyaya,2,1,0,0,0,0,0
2021,109,Kajal Sinha,1,1,0,0,0,0,0
2021,66,Ashis Marjit,0,0,0,0,0,0,0
2021,215,Santanu Pramanik,0,0,0,0,0,0,0
2021,158,Firhad Hakim,1,0,0,0,0,0,0
2021,83,Mukul Roy,19,1,0,0,0,0,0
2021,88,Ashis Kumar Biswas,0,0,0,0,0,0,0
2021,85,Ujjal Biswas,0,0,0,0,0,0,0
2021,133,Jogaranjan Halder,0,0,0,0,0,0,0
2021,129,Ganesh Chandra Mondal,0,0,0,0,0,0,0
2021,282,Ajay  Kumar Poddar,0,1,0,0,0,0,0
2021,38,Toraf Hossain Mandal,1,0,0,0,0,0,0
2021,10,Manoj Kumar Oraon,0,0,0,0,0,0,0
2021,24,Bishnu Prasad Sharma (alias B.P. Bajgain),0,0,0,0,0,0,0
2021,37,Rekha Roy,0,0,0,0,0,0,0
2021,288,Abhijit Sinha (RANA),0,0,0,0,0,0,0
